Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
2.011,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1724414,9.9010105,31.35
2.022,-0.0610352,0.0000000,0.0000000,-0.3448828,-0.1772314,9.9153805,31.37
2.033,0.0000000,0.0610352,-0.0610352,-0.3353027,-0.1676514,9.9058008,31.35
2.044,0.0000000,0.0610352,-0.0610352,-0.3544629,-0.1628613,9.9010105,31.35
2.055,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1628613,9.9010105,31.35
2.066,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1820215,9.8818502,31.36
2.077,0.0610352,0.0000000,0.0000000,-0.3544629,-0.1676514,9.8722706,31.36
2.088,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1820215,9.8770609,31.36
2.099,0.0000000,0.0000000,0.0000000,-0.3353027,-0.1532813,9.8914309,31.35
2.110,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.8531103,31.36
2.121,0.0610352,0.0610352,0.0000000,-0.3688330,-0.1868115,9.8770609,31.36
2.132,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1628613,9.8722706,31.36
2.143,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1676514,9.8674803,31.36
2.154,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1628613,9.9010105,31.35
2.165,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1580713,9.9010105,31.37
2.176,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1628613,9.8914309,31.37
2.187,0.0000000,0.0610352,-0.0610352,-0.3784131,-0.1676514,9.9105911,31.36
2.198,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1628613,9.9010105,31.36
2.209,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1868115,9.9010105,31.35
2.220,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.8866405,31.36
2.231,0.0610352,0.0610352,-0.0610352,-0.3592529,-0.1820215,9.9010105,31.36
2.242,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1580713,9.8770609,31.34
2.253,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8483200,31.35
2.264,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8866405,31.35
2.275,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8962212,31.36
2.286,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8818502,31.37
2.297,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8914309,31.37
2.308,0.0000000,0.0610352,0.0000000,-0.3784131,-0.1724414,9.8818502,31.35
2.319,0.0610352,0.0610352,0.0000000,-0.3640430,-0.1724414,9.8818502,31.37
2.330,0.0000000,0.0000000,-0.0610352,-0.3736230,-0.1724414,9.8914309,31.38
2.341,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1676514,9.8914309,31.38
2.352,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1580713,9.9058008,31.37
2.363,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1772314,9.9010105,31.37
2.374,0.0000000,0.0000000,0.0610352,-0.3688330,-0.1676514,9.8866405,31.36
